,index,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal,rank_num_homophones
26554,39036,risotto,0.0,1,rIzQt5,N,3,6,3,False,0,-5.841271633989473,5.841271633989473,28070.0
26555,39037,risque,0.0,0,risk1,A,2,5,2,False,0,-6.369176137057851,6.369176137057851,28071.0
26556,39038,rissole,0.0,0,rIs5l,N,2,5,2,False,0,-6.311561509682759,6.311561509682759,28072.0
26557,39040,ritual,1.42,1,rIJ9l,N,2,5,2,False,1,-4.305418618969285,4.305418618969285,4213.0
26558,39042,ritualism,0.0,2,rIJ9lIz@m,N,4,9,4,False,0,-5.343488088091564,5.343488088091564,28073.0
26559,39043,ritualist,0.0,2,rIJ9lIst,N,3,8,3,False,0,-5.941524083042037,5.941524083042037,28074.0
26560,39044,ritualistic,0.0,2,rIJ9lIstIk,A,4,10,4,False,0,-7.033487393728646,7.033487393728646,28075.0
26561,39045,ritualistically,0.0,2,rIJ9lIstIk@lI,ADV,6,13,6,False,0,-7.694376963350951,7.694376963350951,28076.0
26562,39046,ritually,0.7,2,rIJ9lI,ADV,3,6,3,False,0,-4.294689411295386,4.294689411295386,28077.0
26563,39047,ritzy,0.0,0,rItsI,A,2,5,2,False,0,-5.755747005082619,5.755747005082619,28078.0
26564,39048,rival,1.11,1,r2vP,N,2,4,1,False,2,-4.975247884617972,4.975247884617972,726.0
26565,39051,rivalry,0.9,2,r2vPrI,N,3,6,2,False,0,-6.013638276536057,6.013638276536057,28079.0
26566,39052,rive,0.3,1,r2v,V,1,3,1,False,0,-4.637622737663543,4.637622737663543,28080.0
26567,39053,river,2.11,0,rIv@R,N,2,5,2,False,0,-4.814492575092264,4.814492575092264,28081.0
26568,39055,riverbed,0.0,2,rIv@bEd,N,3,7,3,False,0,-7.711471086368801,7.711471086368801,28082.0
26569,39056,riverside,0.0,2,rIv@s2d,N,3,7,3,False,1,-7.139232926609125,7.139232926609125,4214.0
26570,39058,rivet,0.0,1,rIvIt,N,2,5,2,False,1,-5.342031588407005,5.342031588407005,4215.0
26571,39060,riveter,0.0,2,rIvIt@R,N,3,7,3,False,0,-6.087920989449831,6.087920989449831,28083.0
26572,39061,riveting,0.0,1,rIvItIN,A,3,7,3,False,0,-7.01994925028521,7.01994925028521,28084.0
26573,39063,Riviera,0.0,0,rIvI8r@,N,4,7,4,False,1,-7.288418188249926,7.288418188249926,4216.0
26574,39065,rivulet,0.0,0,rIvjUlIt,N,3,8,3,False,0,-8.208761740273154,8.208761740273154,28085.0
26575,39066,RN,0.0,0,#rEn,,2,4,2,False,0,-5.817641809468186,5.817641809468186,28086.0
26576,39067,RNA,0.0,0,#rEn1,,3,5,3,False,0,-6.537694135884686,6.537694135884686,28087.0
26577,39068,roach,0.85,1,r5J,N,1,3,1,False,0,-4.983362166586863,4.983362166586863,28088.0
26578,39070,roadbed,0.0,2,r5dbEd,N,2,6,2,False,0,-5.490326442884403,5.490326442884403,28089.0
26579,39071,roadblock,0.0,2,r5dblQk,N,2,7,2,False,0,-5.881995491955946,5.881995491955946,28090.0
26580,39074,roadhouse,0.0,2,r5dh6s,N,2,6,2,False,0,-5.404072815520604,5.404072815520604,28091.0
26581,39075,roadie,0.0,2,r5dI,N,2,4,2,False,0,-5.436259028241708,5.436259028241708,28092.0
26582,39076,roadless,0.0,2,r5dlIs,A,2,6,2,False,0,-6.296774920659402,6.296774920659402,28093.0
26583,39077,roadman,0.0,2,r5dm@n,N,2,6,2,False,0,-5.687327217867674,5.687327217867674,28094.0
26584,39079,roadmender,0.0,2,r5dmEnd@R,N,3,9,3,False,0,-7.076595440040879,7.076595440040879,28095.0
26585,39082,roadside,0.48,2,r5ds2d,N,2,6,2,False,1,-5.649049608382275,5.649049608382275,4217.0
26586,39084,roadstead,0.0,2,r5dstEd,N,2,7,2,False,0,-6.73520373743339,6.73520373743339,28096.0
26587,39085,roadster,0.0,2,r5dst@R,N,2,7,2,False,0,-6.158691991050494,6.158691991050494,28097.0
26588,39086,roadway,0.3,2,r5dw1,N,2,5,2,False,0,-5.269205014218251,5.269205014218251,28098.0
26589,39088,roadworthiness,0.0,2,r5dw3DInIs,N,4,10,4,False,0,-6.159748775920619,6.159748775920619,28099.0
26590,39089,roadworthy,0.0,2,r5dw3DI,A,3,7,3,False,0,-5.708967270438758,5.708967270438758,28100.0
26591,39090,roam,0.85,1,r5m,V,1,3,1,False,1,-4.2104864164567175,4.2104864164567175,4218.0
26592,39091,roamer,0.0,2,r5m@R,N,2,5,2,False,0,-5.187794590815431,5.187794590815431,28101.0
26593,39092,roan,0.0,1,r5n,N,1,3,1,False,1,-4.668871486405082,4.668871486405082,4219.0
26594,39094,roar,1.04,1,r$R,N,1,3,1,False,1,-4.610188471369891,4.610188471369891,4220.0
26595,39098,roaring,0.6,1,r$rIN,A,2,5,2,False,2,-5.961554430361913,5.961554430361913,727.0
26596,39104,roast,0.0,1,r5st,N,1,4,1,False,1,-5.9846103161175375,5.9846103161175375,4221.0
26597,39106,roast,0.7,1,r$st,A,1,4,1,False,0,-5.051902266588238,5.051902266588238,28102.0
26598,39107,roaster,0.0,2,r5st@R,N,2,6,2,False,0,-7.189827000790405,7.189827000790405,28103.0
26599,39108,roasting,0.0,1,r$stIN,N,2,6,2,False,2,-6.056938337106254,6.056938337106254,728.0
26600,39111,rob,1.18,1,rQb,V,1,3,1,False,0,-4.820935316654522,4.820935316654522,28104.0
26601,39112,robber,0.7,2,rQb@R,N,2,5,2,False,0,-4.762941686270128,4.762941686270128,28105.0
26602,39113,robbery,0.85,2,rQb@rI,N,3,6,3,False,0,-5.327529357634357,5.327529357634357,28106.0
26603,39114,robe,1.15,1,r5b,N,1,3,1,False,1,-4.5093417275057535,4.5093417275057535,4222.0
26604,39116,robin,1.08,1,rQbIn,N,2,5,2,False,0,-6.321114265566224,6.321114265566224,28107.0
26605,39118,robot,0.85,1,r5bQt,N,2,5,2,False,0,-6.583576882136321,6.583576882136321,28108.0
26606,39119,robust,0.7,1,r5bVst,A,2,6,2,False,0,-5.9192225773961775,5.9192225773961775,28109.0
26607,39120,robustly,0.0,2,r5bVstlI,ADV,3,8,3,False,0,-6.791062398572822,6.791062398572822,28110.0
26608,39121,robustness,0.0,2,r5bVstnIs,N,3,9,3,False,0,-7.142709098044407,7.142709098044407,28111.0
26609,39122,roc,0.0,1,rQk,N,1,3,1,False,2,-4.225883295591983,4.225883295591983,729.0
26610,39128,rockbound,0.0,2,rQkb6nd,A,2,7,2,False,0,-6.4230148677697,6.4230148677697,28112.0
