,Word,CompCnt,PhonDISC,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal
254,abgestorben,1,&pg@StOrb@n,4,11,4,False,0,-10.48391978969273,10.48391978969273
255,abgestossen,1,&pg@Stos@n,4,10,4,False,0,-7.3143761607397115,7.3143761607397115
256,abgestuft,1,&pg@Stuft,3,9,3,False,0,-8.70537426822888,8.70537426822888
257,abgestumpft,1,&pg@StUm8t,3,10,3,False,0,-8.933555199096695,8.933555199096695
258,Abgestumpftheit,2,&pg@StUm8thWt,4,13,4,False,0,-9.891146257138741,9.891146257138741
259,abgetakelt,1,&pg@tak@lt,4,10,4,False,0,-8.658057868069854,8.658057868069854
260,abgetan,1,&pg@tan,3,7,3,False,0,-6.193474263329958,6.193474263329958
261,abgetragen,1,&pg@trag@n,4,10,4,False,0,-7.157466070497248,7.157466070497248
262,abgewinnen,2,&pg@vIn@n,4,9,4,False,0,-7.148483266313512,7.148483266313512
263,abgewogen,1,&pg@vog@n,4,9,4,False,0,-6.484972908060483,6.484972908060483
264,Abgewogenheit,2,&pg@vog@nhWt,5,12,5,False,0,-8.314143054607472,8.314143054607472
265,abgewoehnen,2,&pg@v7n@n,4,9,3,False,0,-6.045543561593196,6.045543561593196
266,abgezogen,1,&pg@=og@n,4,9,4,False,0,-6.044342533929223,6.044342533929223
267,abgiessen,2,&pgis@n,3,7,3,False,0,-5.867714631494574,5.867714631494574
268,Abglanz,2,&pgl&n=,2,7,2,False,0,-6.394950347355664,6.394950347355664
269,abgleichen,2,&pglWx@n,3,8,3,False,0,-5.2624307553950995,5.2624307553950995
270,abgleiten,2,&pglWt@n,3,8,3,False,0,-6.275071406922662,6.275071406922662
271,abglitschen,2,&pglItS@n,3,9,3,False,0,-7.454021791949036,7.454021791949036
272,Abgott,2,&pgOt,2,5,2,False,0,-5.21823285877192,5.21823285877192
273,Abgoetterei,2,&pg/t@rW,4,8,4,False,0,-6.750150643977816,6.750150643977816
274,abgoettisch,2,&pg/tIS,3,7,3,False,0,-5.621584760768212,5.621584760768212
275,Abgottschlange,2,&pgOtSl&N@,4,10,4,False,0,-9.328743053309683,9.328743053309683
276,abgraben,2,&pgrab@n,3,8,3,False,0,-6.085008632822901,6.085008632822901
277,abgrasen,2,&pgraz@n,3,8,3,False,0,-7.101966577268097,7.101966577268097
278,abgraetschen,2,&pgr9tS@n,3,9,2,False,0,-7.131707513733045,7.131707513733045
279,abgreifen,2,&pgrWf@n,3,8,3,False,0,-5.530399133817349,5.530399133817349
280,abgrenzen,2,&pgrEn=@n,3,9,3,False,0,-6.392632142996831,6.392632142996831
281,Abgrenzung,2,&pgrEn=UN,3,9,3,False,0,-7.2882915036335945,7.2882915036335945
282,Abgrund,2,&pgrUnt,2,7,2,False,0,-5.682748504074449,5.682748504074449
283,abgruendig,2,&pgrYndIx,3,9,3,False,0,-5.927198157938207,5.927198157938207
284,abgrundtief,2,&pgrUnttif,3,10,3,False,0,-9.131438376802107,9.131438376802107
285,abgucken,2,&pgUk@n,3,7,3,False,0,-5.499006182359589,5.499006182359589
286,Abguss,1,&pgUs,2,5,2,False,0,-5.1125149895455335,5.1125149895455335
287,abhaben,2,&phab@n,3,7,3,False,0,-5.328816607342901,5.328816607342901
288,abhacken,2,&ph&k@n,3,7,3,False,0,-5.996705411550318,5.996705411550318
289,abhaken,2,&phak@n,3,7,3,False,0,-6.085012877938557,6.085012877938557
290,abhaekeln,2,&ph9k@ln,3,8,2,False,0,-5.877878243074175,5.877878243074175
291,abhalftern,2,&ph&lft@rn,3,10,3,False,0,-9.872162886741847,9.872162886741847
292,abhalten,2,&ph<@n,3,6,2,False,0,-4.826588574581861,4.826588574581861
293,Abhaltung,2,&ph<UN,3,6,2,False,0,-5.053069087579308,5.053069087579308
294,abhandeln,2,&ph&nd@ln,3,9,3,False,0,-6.679204513449193,6.679204513449193
295,abhanden,3,&ph&nd@n,3,8,3,False,0,-6.1459352055288115,6.1459352055288115
296,Abhandlung,2,&ph&ndlUN,3,9,3,False,0,-6.2947620237816535,6.2947620237816535
297,abhaengen,2,&phEN@n,3,7,3,False,0,-4.639557601528014,4.639557601528014
